"numero","id_bling","dataVenda","dataPedido","qtde_itens","custo","totalVenda","taxaLoja","CMV"
"44137","21608434820","2024-11-20","2024-11-20","1","310.00","447","13","69.35"
"44149","21610168061","2024-11-21","2024-11-21","1","310.00","447","13","69.35"
"44153","21612111244","2024-11-21","2024-11-21","1","310.00","447","13","69.35"
"44174","21615812494","2024-11-21","2024-11-21","1","310.00","447","13","69.35"
"44176","21616380959","2024-11-21","2024-11-21","1","310.00","447","13","69.35"
"44180","21616996367","2024-11-21","2024-11-21","1","310.00","447","13","69.35"
"44189","21617995945","2024-11-21","2024-11-21","1","310.00","447","13","69.35"
"44219","21624573559","2024-11-22","2024-11-22","1","310.00","447","13","69.35"
"44224","21625337727","2024-11-22","2024-11-22","1","310.00","447","13","69.35"
"44236","21627515523","2024-11-23","2024-11-23","1","310.00","447","13","69.35"
"44265","21631636936","2024-11-24","2024-11-24","1","310.00","447","13","69.35"
"44213","21623794485","2024-11-22","2024-11-22","1","95.61","449.3","22.67","63.83"
"43701","21524565141","2024-11-09","2024-11-09","0","268.98","449.89","20.88","59.78"
"43895","21562987447","2024-11-13","2024-11-13","1","333.00","469","13","71"
"43510","21489677778","2024-11-05","2024-11-05","0","310.00","473.98","17.99","65.4"
"43373","21468347854","2024-11-02","2024-11-02","0","310.00","478.98","17.99","64.72"
"43350","21466077041","2024-11-01","2024-11-01","1","310.00","479","20.83","64.71"
"43865","21557458611","2024-11-13","2024-11-13","1","310.00","489","17.99","63.39"
"44200","21621166093","2024-11-22","2024-11-22","1","423.20","499","10.99","84.8"
"43417","21472176518","2024-11-03","2024-11-03","0","310.00","523.97","17.99","59.16"
"43867","21557865581","2024-11-13","2024-11-13","1","98.60","535.4","11.49","55.24"
"43941","21573632982","2024-11-15","2024-11-15","1","164.08","545.59","22.93","60.14"
"43548","21497805863","2024-11-06","2024-11-06","0","342.08","556.98","16","61.41"
"43493","21487001780","2024-11-05","2024-11-05","0","310.00","563.9","17.99","54.97"
"43618","21511380748","2024-11-07","2024-11-07","0","400.00","629","12.99","63.59"
"43760","21536793617","2024-11-11","2024-11-11","1","400.00","629","16.53","63.59"
"43890","21562352680","2024-11-13","2024-11-13","1","400.00","629","12.99","63.59"
"43916","21570565099","2024-11-14","2024-11-14","1","400.00","629","12.99","63.59"
"44198","21620286503","2024-11-22","2024-11-22","1","94.39","639.59","13","59.03"
"43579","21501785175","2024-11-06","2024-11-06","0","200.81","684","12.99","58.71"
"43707","21525152359","2024-11-09","2024-11-09","1","492.24","746","11.99","65.98"
"44072","21599915017","2024-11-19","2024-11-19","1","492.24","746","11.99","65.98"
"43557","21499415781","2024-11-06","2024-11-06","0","462.30","900","0","51.36"
"44031","21591763224","2024-11-18","2024-11-18","1","290.56","947.79","13","61.31"
"43541","21496235959","2024-11-06","2024-11-06","3","363.37","1040","0","11.64"
"42934","21407315513","2024-10-24","2024-11-01","4","824.90","1192","0","17.3"
"43781","21539799769","2024-11-11","2024-11-11","2","16.00","1236","0","0.64"
"43730","21528482160","2024-11-10","2024-11-10","1","912.79","1299","10.99","70.26"
"44124","21606626621","2024-11-20","2024-11-20","1","310.00","1341","13","69.35"
"43829","21549795312","2024-11-12","2024-11-12","1","492.24","1492","11.99","65.98"
"44040","21593280876","2024-11-18","2024-11-18","1","1266.79","1749","10.99","72.42"
"44064","21598474001","2024-11-19","2024-11-19","1","1266.79","1749","10.99","72.42"
"44239","21627840253","2024-11-23","2024-11-23","1","1232.01","1799","12.99","68.48"
"44129","21607121027","2024-11-20","2024-11-20","1","308.00","1984","13","62.09"
"44130","21607123723","2024-11-20","2024-11-20","1","308.00","1984","13","62.09"
"44201","21621258695","2024-11-22","2024-11-22","1","1275.26","2090","18","61.01"
